task,subset,use_sparq,metric,score,prefill_tps,decode_tps,peak_vram_gb,seed,date,git_sha
multi_news,test,False,ROUGE-L,0.0,4.205927163835804,16.823708655343214,19.560953617095947,123,2025-07-29T13:51:54.868729,7c5b8cc4f1d5a9d7470af29cbb273855529834a6
passage_retrieval_en,test,False,Accuracy,0.0,12.232345346220383,6.116172673110191,20.99434804916382,123,2025-07-29T13:51:54.868729,7c5b8cc4f1d5a9d7470af29cbb273855529834a6
multi_news,test,True,ROUGE-L,0.004484090101823054,3.5948358019212288,14.379343207684915,20.291244983673096,123,2025-07-29T14:43:41.946542,7c5b8cc4f1d5a9d7470af29cbb273855529834a6
passage_retrieval_en,test,True,Accuracy,0.0,11.15450334417711,5.577251672088555,21.9205060005188,123,2025-07-29T14:43:41.946542,7c5b8cc4f1d5a9d7470af29cbb273855529834a6
